5.33,16,1,3,5,6
4.935000000000006,2,4,6,7,12
4.5949999999999775,1,2,7,9,12
5.044999999999998,2,3,4,10,12
5.064999999999991,1,2,6,7,15
5.110000000000003,1,2,6,10,12
3.354999999999997,1,3,4,8,15
4.739999999999988,1,2,4,11,13
4.550000000000008,2,3,7,8,11
2.3049999999999784,1,3,7,9,11
6.25,16,2,3,4,6
4.2949999999999875,2,5,6,8,10
4.2400000000000055,2,4,7,8,10
6.865000000000013,1,5,6,9,10
3.100000000000005,2,4,5,9,11
2.199999999999992,1,2,3,12,13
3.859999999999996,2,4,5,8,12
4.605000000000011,3,4,5,8,11
4.604999999999983,1,4,5,7,14
5.164999999999999,1,3,4,11,12
4.815000000000001,1,3,5,8,14
5.039999999999996,1,4,6,9,11
3.4000000000000057,2,4,5,6,14
3.349999999999998,1,2,4,9,15
4.185000000000009,2,3,5,8,13
4.36999999999999,2,6,7,8,9
4.064999999999998,4,5,6,8,9
4.400000000000006,1,5,6,8,12
3.9049999999999905,16,1,3,4,8
3.559999999999995,2,4,5,6,15
5.074999999999996,16,1,2,4,9
4.084999999999994,1,4,7,8,12
5.5799999999999805,1,4,6,9,12
5.719999999999992,2,3,6,7,14
4.734999999999992,1,3,4,10,14
5.325000000000006,1,2,5,10,14
5.105000000000013,2,4,5,8,13
5.840000000000007,3,5,6,7,11
3.5400000000000063,1,2,3,11,15
2.9350000000000094,1,3,5,8,15
5.7749999999999915,3,5,7,8,9
4.554999999999982,2,3,7,9,11
5.840000000000003,1,3,6,8,14
3.010000000000012,1,2,5,9,15
4.660000000000004,1,3,5,11,12
4.154999999999987,2,3,6,8,13
3.1049999999999898,1,2,7,9,13
3.489999999999988,16,1,2,5,8
5.310000000000002,1,4,5,9,13
4.084999999999994,1,2,4,11,14
4.294999999999998,1,3,6,7,15
6.050000000000001,1,5,6,9,11
3.035,3,4,5,6,14
4.719999999999999,1,2,6,9,14
4.230000000000004,16,2,3,4,7
5.159999999999986,3,4,6,7,12
4.880000000000003,2,4,6,7,13
4.764999999999997,2,5,6,9,10
3.4799999999999933,2,5,6,8,11
6.215000000000014,4,5,6,7,10
4.940000000000005,3,5,6,8,10
4.955000000000009,3,4,7,8,10
3.719999999999999,2,4,5,9,12
4.6000000000000085,2,3,6,9,12
5.510000000000002,16,2,3,5,6
5.489999999999988,3,4,5,7,13
3.0,2,3,5,8,14
5.075000000000006,1,3,4,11,13
5.265000000000001,1,4,6,10,11
4.005000000000024,1,4,6,8,13
4.190000000000001,3,4,5,8,12
7.250000000000007,1,5,7,8,11
2.9650000000000034,1,3,4,9,15
3.7100000000000257,1,3,7,8,13
3.775000000000002,1,4,5,8,14
3.5400000000000134,2,4,5,10,11
4.035,2,3,5,9,13
3.984999999999964,1,3,7,9,12
4.2099999999999795,1,4,7,9,11
6.074999999999996,2,5,7,8,10
6.395,1,6,7,8,10
3.770000000000003,2,3,4,11,12
4.2149999999999945,2,3,4,10,13
4.269999999999996,1,3,7,10,11
4.120000000000012,3,4,6,8,11
5.655000000000005,2,3,7,8,12
4.469999999999985,16,1,2,6,7
3.3099999999999845,1,2,4,12,13
4.464999999999993,1,2,3,12,14
3.5200000000000102,2,4,6,8,12
5.1449999999999925,3,4,5,9,11
3.994999999999994,1,3,6,9,13
2.5800000000000125,2,4,5,7,14
5.469999999999999,1,5,6,7,13
4.27000000000001,2,3,4,8,15
4.88499999999998,16,1,4,5,6
4.899999999999995,16,1,3,5,7
4.344999999999999,2,3,6,10,11
2.930000000000014,2,4,7,8,11
5.635000000000009,3,4,6,9,10
6.859999999999992,1,5,7,9,10
5.260000000000007,1,3,5,10,13
5.01499999999999,1,4,6,7,14
4.155000000000012,1,2,6,11,12
3.5799999999999876,2,4,6,9,11
2.929999999999996,1,2,8,9,12
3.7449999999999974,1,2,6,10,13
3.7499999999999893,1,2,7,8,14
4.190000000000001,2,3,4,9,14
5.959999999999994,1,3,6,10,12
5.595000000000002,2,3,8,9,10
5.904999999999996,16,1,2,3,10
4.955000000000005,1,2,5,11,13
7.3199999999999825,1,3,5,9,14
3.3049999999999997,1,2,6,8,15
4.6050000000000075,2,3,5,7,15
5.070000000000007,1,2,4,10,15
3.3200000000000145,1,4,8,9,10
3.9400000000000013,2,4,7,9,10
4.570000000000007,1,2,8,10,11
5.770000000000003,2,5,6,7,12
4.534999999999979,2,3,5,10,12
4.345000000000002,1,4,5,7,15
3.0349999999999895,1,3,8,9,11
5.44499999999999,1,4,5,10,12
4.844999999999992,1,2,7,10,12
3.1650000000000134,3,6,7,8,9
3.9349999999999916,4,5,6,8,10
4.130000000000017,4,5,7,8,9
7.88000000000001,3,5,7,8,10
5.8049999999999855,1,5,7,9,11
3.504999999999985,1,2,7,8,15
4.3250000000000135,1,4,8,9,11
4.034999999999997,2,3,5,8,15
5.120000000000012,3,5,6,8,11
4.784999999999997,16,2,4,5,6
5.370000000000015,1,2,6,10,14
3.9399999999999977,1,2,3,12,15
4.680000000000007,1,2,5,11,14
4.320000000000007,2,3,8,9,11
3.1249999999999893,3,4,6,8,12
4.5449999999999875,1,4,5,11,12
4.914999999999992,16,1,3,6,7
4.015000000000001,16,1,2,5,9
4.8749999999999964,3,4,5,9,12
4.115000000000002,2,3,5,9,14
6.834999999999983,1,5,6,7,14
3.829999999999991,3,5,6,7,12
5.529999999999987,1,3,7,10,12
4.355,1,2,3,13,14
4.085000000000004,1,3,6,8,15
4.2799999999999905,1,4,5,9,14
3.4700000000000024,2,4,6,10,11
4.579999999999998,2,6,7,8,10
