5.884999999999998,8,9,13
5.085000000000001,5,11,14
0.10000000000000142,7,8,15
0.43499999999999517,6,9,15
4.380000000000003,7,10,13
5.035000000000004,2,13,15
4.6850000000000005,16,2,12
2.4449999999999967,5,10,15
3.5150000000000006,16,1,13
1.1599999999999966,6,11,13
6.350000000000005,3,13,14
4.584999999999997,5,12,13
4.039999999999996,4,12,14
4.599999999999994,1,14,15
4.355,16,3,11
4.105,16,6,8
2.09,7,9,14
5.164999999999999,6,10,14
6.550000000000004,8,10,13
5.41,9,10,12
3.8249999999999993,4,12,15
6.260000000000002,16,1,14
4.809999999999999,16,7,8
4.914999999999994,16,5,10
4.439999999999998,4,13,14
4.479999999999993,16,4,11
5.585000000000004,8,11,12
6.925000000000001,16,3,12
1.7850000000000037,7,11,13
3.5150000000000006,6,12,13
0.5450000000000017,7,9,15
1.730000000000004,5,11,15
4.5899999999999945,16,2,13
5.275000000000006,8,9,14
3.2899999999999956,7,10,14
7.524999999999999,6,11,14
5.870000000000001,16,6,9
4.700000000000003,3,13,15
4.454999999999998,2,14,15
0.9100000000000001,6,10,15
6.109999999999999,5,12,14
5.814999999999998,9,10,13
5.800000000000001,8,11,13
2.1399999999999935,9,11,12
2.9499999999999957,7,12,13
0.5899999999999999,7,10,15
5.02,16,4,12
2.7149999999999963,16,5,11
5.7450000000000045,8,10,14
5.479999999999999,16,3,13
1.879999999999999,6,11,15
